ID;D;M;A;S;X;Y
0;16;1;2018;36062;1257;527
0;16;1;2018;36062;1181;531
929819247;16;1;2018;36063;1319;611
929819247;16;1;2018;36063;1538;864
929819247;16;1;2018;36063;1508;889
717162153;16;1;2018;36063;1488;879
717162153;16;1;2018;36063;1154;767
717162153;16;1;2018;36063;1064;658
717162153;16;1;2018;36063;1044;619
668125345;16;1;2018;36067;1026;562
668125345;16;1;2018;36067;986;444
668125345;16;1;2018;36067;967;397
712741122;16;1;2018;36067;967;396
712741122;16;1;2018;36068;966;399
712741122;16;1;2018;36068;963;417
712741122;16;1;2018;36068;962;418
235088154;16;1;2018;36068;962;419
433574866;16;1;2018;36069;962;420
254665141;16;1;2018;36076;963;447
724595106;16;1;2018;36077;966;453
389866380;16;1;2018;36077;956;460
389866380;16;1;2018;36077;921;453
658085944;16;1;2018;36078;914;436
658085944;16;1;2018;36078;507;88
658085944;16;1;2018;36078;244;-10
658085944;16;1;2018;36078;88;-2
658085944;16;1;2018;36078;36;0
658085944;16;1;2018;36078;59;-7
658085944;16;1;2018;36078;130;-2
658085944;16;1;2018;36078;135;0
518463674;16;1;2018;36079;136;2
769289167;16;1;2018;36079;136;1
915437099;16;1;2018;36080;215;84
915437099;16;1;2018;36080;395;357
915437099;16;1;2018;36080;384;389
915437099;16;1;2018;36080;383;402
915437099;16;1;2018;36080;426;515
991773896;16;1;2018;36081;427;522
991773896;16;1;2018;36081;428;520
528291309;16;1;2018;36081;429;514
761644447;16;1;2018;36082;428;506
587155752;16;1;2018;36083;427;505
587155752;16;1;2018;36083;425;506
587155752;16;1;2018;36083;423;507
928488424;16;1;2018;36083;422;508
928488424;16;1;2018;36083;431;255
928488424;16;1;2018;36084;464;167
928488424;16;1;2018;36084;478;79
928488424;16;1;2018;36084;445;-5
928488424;16;1;2018;36084;548;-4
928488424;16;1;2018;36084;596;0
503174235;16;1;2018;36084;597;0
36389675;16;1;2018;36085;451;134
36389675;16;1;2018;36085;282;238
36389675;16;1;2018;36085;261;245
36389675;16;1;2018;36086;210;263
36389675;16;1;2018;36086;122;292
36389675;16;1;2018;36086;111;296
136724490;16;1;2018;36087;110;297
136724490;16;1;2018;36087;122;354
136724490;16;1;2018;36087;136;480
136724490;16;1;2018;36087;121;509
136724490;16;1;2018;36088;110;543
136724490;16;1;2018;36088;173;569
136724490;16;1;2018;36088;226;560
495451232;16;1;2018;36088;189;564
495451232;16;1;2018;36088;185;561
495451232;16;1;2018;36088;135;531
495451232;16;1;2018;36088;127;530
495451232;16;1;2018;36088;125;528
495451232;16;1;2018;36089;122;524
122475824;16;1;2018;36089;121;523
